trial,timestep,S1,S2,M1,M2,H1,H2,H3,H4,block_movement,task_type,block_size,first_sight
3,7,0,0,0,0,1,0,1,1,-1,catch,3,0
3,8,0,0,0,0,1,0,1,1,-1,catch,3,0
3,9,0,0,0,0,1,0,1,1,-1,catch,3,0
3,10,0,1,0,0,1,0,1,1,-1,catch,3,1
3,11,0,1,0,0,0,1,1,1,-1,catch,3,0
3,12,1,1,0,0,0,0,1,0,-1,catch,3,0
3,13,1,0,0,0,0,1,1,0,-1,catch,3,0
3,14,1,0,0,0,1,1,0,1,-1,catch,3,0
3,15,1,0,0,1,1,1,0,1,-1,catch,3,0
3,16,1,0,0,1,1,1,0,1,-1,catch,3,0
3,17,1,0,0,1,1,1,0,1,-1,catch,3,0
3,18,1,0,0,1,1,1,0,1,-1,catch,3,0
3,19,1,0,0,1,1,1,0,1,-1,catch,3,0
3,20,1,0,0,1,1,1,0,1,-1,catch,3,0
3,21,1,0,0,1,1,1,0,1,-1,catch,3,0
3,22,1,0,0,1,1,1,0,1,-1,catch,3,0
3,23,1,0,0,1,1,1,0,1,-1,catch,3,0
3,24,1,0,0,1,1,1,0,1,-1,catch,3,0
3,25,1,0,0,1,1,1,0,1,-1,catch,3,0
3,26,1,0,0,1,1,1,0,1,-1,catch,3,0
3,27,1,0,0,1,1,1,0,1,-1,catch,3,0
3,28,1,0,0,1,1,1,0,1,-1,catch,3,0
3,29,1,0,0,1,1,1,0,1,-1,catch,3,0
3,30,1,0,0,1,1,1,0,1,-1,catch,3,0
3,31,1,0,0,1,1,1,0,1,-1,catch,3,0
3,32,1,0,0,1,1,1,0,1,-1,catch,3,0
3,33,1,0,0,1,1,1,0,1,-1,catch,3,0
4,1,0,0,1,0,0,1,1,1,-1,catch,3,0
4,2,0,0,0,0,0,1,0,0,-1,catch,3,0
4,3,0,0,0,0,1,0,1,1,-1,catch,3,0
4,4,0,0,0,0,1,0,1,1,-1,catch,3,0
4,5,0,0,0,0,1,0,1,1,-1,catch,3,0
4,6,0,0,0,0,1,0,1,1,-1,catch,3,0
4,7,0,0,0,0,1,0,1,1,-1,catch,3,0
4,8,0,0,0,0,1,0,1,1,-1,catch,3,0
4,9,0,1,0,0,1,0,1,1,-1,catch,3,1
4,10,0,1,0,0,0,1,1,1,-1,catch,3,0
4,11,1,1,0,0,0,0,1,0,-1,catch,3,0
4,12,1,0,0,0,0,1,1,0,-1,catch,3,0
4,13,1,0,0,0,1,1,0,1,-1,catch,3,0
4,14,1,0,0,1,1,1,0,1,-1,catch,3,0
4,15,1,0,0,1,1,1,0,1,-1,catch,3,0
4,16,1,0,0,1,1,1,0,1,-1,catch,3,0
4,17,1,0,0,1,1,1,0,1,-1,catch,3,0
4,18,1,0,0,1,1,1,0,1,-1,catch,3,0
4,19,1,0,0,1,1,1,0,1,-1,catch,3,0
4,20,1,0,0,1,1,1,0,1,-1,catch,3,0
4,21,1,0,0,1,1,1,0,1,-1,catch,3,0
4,22,1,0,0,1,1,1,0,1,-1,catch,3,0
4,23,1,0,0,1,1,1,0,1,-1,catch,3,0
4,24,1,0,0,1,1,1,0,1,-1,catch,3,0
4,25,1,0,0,1,1,1,0,1,-1,catch,3,0
4,26,1,0,0,1,1,1,0,1,-1,catch,3,0
4,27,1,0,0,1,1,1,0,1,-1,catch,3,0
4,28,1,0,0,1,1,1,0,1,-1,catch,3,0
4,29,1,0,0,1,1,1,0,1,-1,catch,3,0
4,30,1,0,0,1,1,1,0,1,-1,catch,3,0
4,31,1,0,0,1,1,1,0,1,-1,catch,3,0
4,32,1,0,0,1,1,1,0,1,-1,catch,3,0
4,33,1,0,0,1,1,1,0,1,-1,catch,3,0
5,1,0,0,1,0,0,1,1,1,-1,catch,3,0
5,2,0,0,0,0,0,1,0,0,-1,catch,3,0
5,3,0,0,0,0,1,0,1,1,-1,catch,3,0
5,4,0,0,0,0,1,0,1,1,-1,catch,3,0
5,5,0,0,0,0,1,0,1,1,-1,catch,3,0
5,6,0,0,0,0,1,0,1,1,-1,catch,3,0
5,7,0,0,0,0,1,0,1,1,-1,catch,3,0
5,8,0,1,0,0,1,0,1,1,-1,catch,3,1
5,9,0,1,0,0,0,1,1,1,-1,catch,3,0
5,10,1,1,0,0,0,0,1,0,-1,catch,3,0
5,11,1,0,0,0,0,1,1,0,-1,catch,3,0
5,12,1,0,0,0,1,1,0,1,-1,catch,3,0
5,13,1,0,0,1,1,1,0,1,-1,catch,3,0
5,14,1,0,0,1,1,1,0,1,-1,catch,3,0
5,15,1,0,0,1,1,1,0,1,-1,catch,3,0
5,16,1,0,0,1,1,1,0,1,-1,catch,3,0
5,17,1,0,0,1,1,1,0,1,-1,catch,3,0
5,18,1,0,0,1,1,1,0,1,-1,catch,3,0
5,19,1,0,0,1,1,1,0,1,-1,catch,3,0
5,20,1,0,0,1,1,1,0,1,-1,catch,3,0
5,21,1,0,0,1,1,1,0,1,-1,catch,3,0
5,22,1,0,0,1,1,1,0,1,-1,catch,3,0
5,23,1,0,0,1,1,1,0,1,-1,catch,3,0
5,24,1,0,0,1,1,1,0,1,-1,catch,3,0
5,25,1,0,0,1,1,1,0,1,-1,catch,3,0
5,26,1,0,0,1,1,1,0,1,-1,catch,3,0
5,27,1,0,0,1,1,1,0,1,-1,catch,3,0
5,28,1,0,0,1,1,1,0,1,-1,catch,3,0
5,29,1,0,0,1,1,1,0,1,-1,catch,3,0
5,30,1,0,0,1,1,1,0,1,-1,catch,3,0
5,31,1,0,0,1,1,1,0,1,-1,catch,3,0
5,32,1,0,0,1,1,1,0,1,-1,catch,3,0
5,33,1,0,0,1,1,1,0,1,-1,catch,3,0
6,1,0,0,1,0,0,1,1,1,-1,catch,3,0
6,2,0,0,0,0,0,1,0,0,-1,catch,3,0
6,3,0,0,0,0,1,0,1,1,-1,catch,3,0
6,4,0,0,0,0,1,0,1,1,-1,catch,3,0
6,5,0,0,0,0,1,0,1,1,-1,catch,3,0
6,6,0,0,0,0,1,0,1,1,-1,catch,3,0
6,7,0,1,0,0,1,0,1,1,-1,catch,3,1
6,8,0,1,0,0,0,1,1,1,-1,catch,3,0
6,9,1,1,0,0,0,0,1,0,-1,catch,3,0
6,10,1,0,0,0,0,1,1,0,-1,catch,3,0
6,11,1,0,0,0,1,1,0,1,-1,catch,3,0
6,12,1,0,0,1,1,1,0,1,-1,catch,3,0
6,13,1,0,0,1,1,1,0,1,-1,catch,3,0
6,14,1,0,0,1,1,1,0,1,-1,catch,3,0
6,15,1,0,0,1,1,1,0,1,-1,catch,3,0
6,16,1,0,0,1,1,1,0,1,-1,catch,3,0
6,17,1,0,0,1,1,1,0,1,-1,catch,3,0
6,18,1,0,0,1,1,1,0,1,-1,catch,3,0
6,19,1,0,0,1,1,1,0,1,-1,catch,3,0
6,20,1,0,0,1,1,1,0,1,-1,catch,3,0
6,21,1,0,0,1,1,1,0,1,-1,catch,3,0
6,22,1,0,0,1,1,1,0,1,-1,catch,3,0
6,23,1,0,0,1,1,1,0,1,-1,catch,3,0
6,24,1,0,0,1,1,1,0,1,-1,catch,3,0
6,25,1,0,0,1,1,1,0,1,-1,catch,3,0
6,26,1,0,0,1,1,1,0,1,-1,catch,3,0
6,27,1,0,0,1,1,1,0,1,-1,catch,3,0
6,28,1,0,0,1,1,1,0,1,-1,catch,3,0
6,29,1,0,0,1,1,1,0,1,-1,catch,3,0
6,30,1,0,0,1,1,1,0,1,-1,catch,3,0
6,31,1,0,0,1,1,1,0,1,-1,catch,3,0
6,32,1,0,0,1,1,1,0,1,-1,catch,3,0
6,33,1,0,0,1,1,1,0,1,-1,catch,3,0
7,1,0,0,1,0,0,1,1,1,-1,catch,3,0
7,2,0,0,0,0,0,1,0,0,-1,catch,3,0
7,3,0,0,0,0,1,0,1,1,-1,catch,3,0
7,4,0,0,0,0,1,0,1,1,-1,catch,3,0
7,5,0,0,0,0,1,0,1,1,-1,catch,3,0
7,6,0,1,0,0,1,0,1,1,-1,catch,3,1
7,7,0,1,0,0,0,1,1,1,-1,catch,3,0
7,8,1,1,0,0,0,0,1,0,-1,catch,3,0
7,9,1,0,0,0,0,1,1,0,-1,catch,3,0
7,10,1,0,0,0,1,1,0,1,-1,catch,3,0
7,11,1,0,0,1,1,1,0,1,-1,catch,3,0
7,12,1,0,0,1,1,1,0,1,-1,catch,3,0
7,13,1,0,0,1,1,1,0,1,-1,catch,3,0
7,14,1,0,0,1,1,1,0,1,-1,catch,3,0
7,15,1,0,0,1,1,1,0,1,-1,catch,3,0
7,16,1,0,0,1,1,1,0,1,-1,catch,3,0
7,17,1,0,0,1,1,1,0,1,-1,catch,3,0
7,18,1,0,0,1,1,1,0,1,-1,catch,3,0
7,19,1,0,0,1,1,1,0,1,-1,catch,3,0
7,20,1,0,0,1,1,1,0,1,-1,catch,3,0
7,21,1,0,0,1,1,1,0,1,-1,catch,3,0
7,22,1,0,0,1,1,1,0,1,-1,catch,3,0
7,23,1,0,0,1,1,1,0,1,-1,catch,3,0
7,24,1,0,0,1,1,1,0,1,-1,catch,3,0
7,25,1,0,0,1,1,1,0,1,-1,catch,3,0
7,26,1,0,0,1,1,1,0,1,-1,catch,3,0
7,27,1,0,0,1,1,1,0,1,-1,catch,3,0
7,28,1,0,0,1,1,1,0,1,-1,catch,3,0
7,29,1,0,0,1,1,1,0,1,-1,catch,3,0
7,30,1,0,0,1,1,1,0,1,-1,catch,3,0
7,31,1,0,0,1,1,1,0,1,-1,catch,3,0
